,liwc_Posemo,liwc_Negemo,liwc_Anx,liwc_Anger,liwc_Sad,liwc_Swear,liwc_Tentat,liwc_Certain,empath_swearing_terms,empath_science,empath_negative_emotion,empath_positive_emotion,date,time_delta,year,month,verbosity
0,-0.9450590221782805,0.9395158833746502,2.3172233410472725,-0.6498720474156645,1.1373387868528544,1.8378219169297267,0.4861543836555405,0.6112812664078096,1.6231859973272538,0.992315664952125,1.7072029780653026,-0.2094042653885954,2008-09-15,0,2008,9,0
1,7.0197984248808005,-1.041850163106689,-5.703653076658739,1.352407156493243,11.293306055036568,21.764592913244446,0.4504091631211332,15.823952612360157,12.300785205897073,3.600187966189073,-1.958328107804362,-4.446696832350365,2008-09-15,0,2008,9,3
2,-4.994082861999068,0.37642262650598185,1.4417266689339239,-1.2049676038948598,2.0259525586471856,1.0110321910051885,-2.145013023359738,-6.188451363678248,-0.4234755253464456,4.480633263433009,0.7451774338177972,-2.718490608766595,2008-09-15,0,2008,9,2
3,-0.7652924659426471,-0.47797557800313234,-0.5662948008251069,-1.608708357914594,0.3415889736951311,1.0270318082130565,0.9623826045647281,-0.9520304062131602,0.10295118539830107,-0.6099895482203264,-0.1721911859066611,1.7062594713246544,2008-09-15,0,2008,9,1
4,-0.5233870349005756,2.1695860449410085,1.7154797696544115,0.6054311589262868,3.868921681335684,1.619976273450337,0.7188294177217412,-1.5409785032006615,3.191669713339529,-0.21711413980797137,2.3688028803165775,-0.011184008343608465,2008-10-15,1,2008,10,0
5,-2.8550440911508095,0.5131448621916773,5.474675530330527,-0.6742516277908573,-4.905962480790512,-2.215933073078601,3.784602424194129,3.88658555340652,-1.2588360923272224,3.0245147956966942,1.3865696944775905,5.995771956996882,2008-10-15,1,2008,10,3
6,1.7549300508124992,-0.39655404194712957,-0.5629146500338292,-2.9882403717352752,7.807598726093574,0.2263440336611419,-0.34516834891193593,-0.0838594408032747,0.15818533593226536,1.258336636374254,0.9986933877404903,-0.7991650961677744,2008-10-15,1,2008,10,2
7,-0.9244262608672237,-0.28557175479084,0.5407234560519381,-0.9988549155734785,-1.8799860746117392,1.4247647594833788,4.0533050979403935,-0.6013146216905304,2.9892187469169205,0.38011641599594054,0.2898906631137213,-0.09815555780278327,2008-10-15,1,2008,10,1
8,3.5867332845130617,-0.013558633498683552,1.324344688905125,0.644987924105584,0.6391765365779308,5.387000301294705,4.454363312827033,1.792257121133666,-0.32897031134975546,-1.6238666347556816,3.3050001211277946,2.5433186514854387,2008-11-15,2,2008,11,3
9,1.6512155239835353,-1.038692832501977,-0.39768444389866625,-1.9501419194766085,-1.1667714542932037,1.5809142765914255,2.0177321502741927,1.871982682595864,1.1722123653640544,0.13988464067468878,0.37264214499319037,2.2982934873160925,2008-11-15,2,2008,11,0
10,-0.952223757744445,-1.1791115071536513,-1.9711665371925422,-2.6629830458645234,-1.1350866194864895,1.367233700131613,2.52078643767727,1.7657760245718939,-0.045208440755479,-0.16696777292217896,1.2967754611160653,-0.4217427497868353,2008-11-15,2,2008,11,1
11,5.171166584734506,-2.1322403661602563,0.5240889311257789,-3.222535597646262,3.359699046702449,2.2297267666903524,0.41558407812657866,5.2423395671152395,-0.7301050660585506,3.5336246719345277,0.4475198263422223,0.8238671674794056,2008-11-15,2,2008,11,2
12,-0.8317106520068487,-2.131747469319443,-1.6271915162399426,-4.124762193655398,0.14216765058832143,-1.3143044227991818,5.149766787769287,2.727903445399851,2.3202604740992405,-1.2360286135037937,1.1540845470230905,-0.43088607930054734,2008-12-15,3,2008,12,1
13,1.0148674042992094,-0.8020895799635204,0.3095435093825135,-1.8023082372458263,0.09364554993232915,0.4476102383553634,3.4442715342928567,2.0455069212768633,0.5791061839694029,-0.9498217237110093,-0.10518952710374174,-0.28831999785492074,2008-12-15,3,2008,12,0
14,1.332211170880061,0.7022602038136052,-0.5094566566978725,-3.964625863475038,7.290155670613088,-2.1070527623945305,5.781363642808201,-3.418411057239249,-1.7406079982199227,2.8811270282221075,2.2374452940203975,0.11907294547847593,2008-12-15,3,2008,12,2
15,0.4661162450326857,-2.2876615502391124,-3.1331892507641905,-3.5889417080875265,7.523692929937229,-0.6732237221810616,4.288758398630306,17.876110481543034,-4.913582737535955,5.215673725261055,-3.913112980697637,8.095927600433038,2008-12-15,3,2008,12,3
16,1.8243362856866883,-2.411073224405042,-1.8465150881222099,-2.3864462600220757,-6.461090684435573,-0.2615296153482401,3.3747296915086946,1.4738567699505931,1.873565049968631,-0.21917724979634615,0.3320804546273413,0.964332705206895,2009-01-15,4,2009,1,2
17,-2.631409885555523,-1.6702760831186803,0.0697267685859801,-4.320974202569304,-0.09476419786916725,-0.1163864159794664,4.745900736625274,-0.07740304501699423,-0.5056655653158804,0.2778426060527884,-0.042197745096594484,0.8962695845547637,2009-01-15,4,2009,1,1
18,-3.408464453648118,-1.339421168205273,2.7368481528225725,-3.36894880349491,1.4104545134738464,1.6100496502644994,-2.306342370236746,3.3520571596395685,0.6194435141315555,-1.830632689896376,-4.7925741245220275,1.12910716419484,2009-01-15,4,2009,1,3
19,1.8621122091527085,-0.9300511396023057,-0.38788785477005905,-1.757442200789305,-0.9075271702729601,-0.4221086748287004,1.9087653570783711,0.012325734539574902,0.5405285367826071,-1.0259266887020544,0.4991603083926971,0.7053317674113256,2009-01-15,4,2009,1,0
