,liwc_Posemo,liwc_Negemo,liwc_Anx,liwc_Anger,liwc_Sad,liwc_Swear,liwc_Tentat,liwc_Certain,empath_swearing_terms,empath_science,empath_negative_emotion,empath_positive_emotion,date,time_delta,year,month
0,-2.7320495114420753,6.131402204085785,5.502827971469811,4.2524575319793305,3.845457664446925,1.453866737646937,-1.6946426586545271,0.873356619656248,2.9983486552419025,-3.606928716764616,1.5128816070568145,-1.2785912733874676,2008-09-15,0,2008,9
1,-1.8746818112923975,5.68430058152325,7.2482952183549205,3.9894622928586116,2.288342750309317,1.5156933374436012,-0.13041800971588724,1.04410181100556,2.6995120315614574,-4.292635812887489,2.755680462048336,-1.367725673822033,2008-10-15,1,2008,10
2,1.4393368556826867,0.6656847931038523,1.6513067076322565,-0.6245882069876202,3.5648698007677093,1.2332091564059071,0.3450980619613041,-0.6580570150849483,0.6881698860799351,-4.094802693244793,-0.1839715337621099,1.2253536806928962,2008-11-15,2,2008,11
3,-2.1311982190012673,3.585734484412621,2.8632442357043124,0.6976242883344995,4.56819217477303,1.1129605778999068,2.8583732189762814,2.6816604592777664,1.542112709393658,-2.980008953225045,-0.024221371723348234,-2.2473683052434232,2008-12-15,3,2008,12
4,0.5835773962927534,2.2194749224599613,3.5145350083091964,0.10473215776926728,1.8026903752170462,0.24198583332538104,1.363731711646555,1.3157784562363708,1.2300947219312077,-4.703137743970656,-0.8137670544187232,0.738127416009187,2009-01-15,4,2009,1
5,-2.386029727683356,3.983301528435448,3.9289964298211095,0.28623235556721505,3.8042281013925012,1.6307016590949772,1.4729989047724157,1.8444130270115207,3.3972413797985928,-3.8035409915496974,1.0107311325429624,-1.286960440357552,2009-02-15,5,2009,2
6,-1.5590775661913077,4.087342972829744,3.1428553028664186,2.010556355439348,3.8108325808310184,0.036787686934698215,0.954358343879015,1.5142538239862624,1.0838242329784262,-1.1066324649175263,0.976036592352032,-2.0509249571474317,2009-03-15,6,2009,3
7,-1.2942390554663201,4.00279609279845,4.246360890951822,2.1357468057182225,2.4360976525325184,-0.17409546799318903,0.10860904621405924,2.4724915520353012,0.29075232195549344,-1.1888283046162158,0.15841008841219056,-1.3561077934571097,2009-04-15,7,2009,4
8,-0.013101982265986599,3.77957845047935,5.808964344930062,2.5818276290718827,0.08521959925406004,0.6479313583605115,3.4181438472855232,1.5869364981097607,-0.3956979802327743,-2.995381886823389,-0.0628700108393747,-0.5256953386569418,2009-05-15,8,2009,5
9,-2.1678506271760773,2.903951534835577,2.7756846649832743,1.0635878179947902,4.4319883657500005,0.22898578966538843,2.2825103581855433,1.9379776722165682,-0.2310264957759009,-2.9116798865190603,1.4323322773249565,0.8871071930704006,2009-06-15,9,2009,6
10,-1.9346043430422033,2.5744974642985525,2.414122815520704,1.0558356258876362,1.8752641443662215,0.31497983702371685,2.6991054507816625,2.1743009520264853,0.3080626336280625,-1.0184749535452395,1.9200497544647452,1.1455716864296333,2009-07-15,10,2009,7
11,0.32105643877471624,3.393254631010644,5.879535234011712,1.1854915927403635,2.617666171544855,-0.6401187496972243,3.23250076917047,3.1378218030301888,0.4756876720598254,-1.8885503073509893,5.463699297494395,4.069596648149147,2009-08-15,11,2009,8
12,-1.0182940403339615,2.9953464327206825,3.569869992555946,1.7038722843243972,2.54021042614793,0.41954363936195455,3.4303709797217343,2.172394200408553,1.0306111655831782,-2.3406582066422184,3.828453599975547,2.1776102583338988,2009-09-15,12,2009,9
13,0.6947297634632416,2.5172469367290513,2.681214432273197,1.5677190804986367,1.0048960751891196,-0.23490701201404265,2.847838569681491,1.84945469945656,-0.37679649688092737,-1.69967301776904,2.1780705096803405,0.3393774471730332,2009-10-15,13,2009,10
14,-0.6961616529373673,2.421395995904889,3.546169310447305,0.8305821623232881,2.716076374470068,0.39870751856927794,1.0987537875429243,1.6057338852712897,1.0452880546399106,-2.7686616777449453,2.9867331091588456,1.1087078279986118,2009-11-15,14,2009,11
15,-1.2727552865981913,3.8024326411574676,3.68717887176669,2.103191635450268,4.329655699077387,0.10569517447721576,1.9071073810723982,3.5474421056576206,0.29259537777798605,-1.8320825245563976,2.51080831046989,-0.20151806990199608,2009-12-15,15,2009,12
16,-1.1223318269193179,4.420700625623745,3.7390773377365463,1.8979236615617,5.400470192167068,0.5691803715737717,0.2986453471893162,1.2316035151656206,0.31867873589316115,-2.6717400821359627,2.8936148133016606,-1.0053360504423698,2010-01-15,16,2010,1
17,-1.4499721094053377,2.897205734225412,3.764760048127181,0.5055543800593592,3.169859104422562,0.407838463750914,1.4618987319965508,0.39355714078548837,0.13787062820473933,-2.1369261164814772,1.5768163528248507,0.029307084733105924,2010-02-15,17,2010,2
18,-1.312565108563728,3.497041726771826,3.871348820306743,1.7962137402372795,3.7226680891326174,0.11951751189122042,-0.13218224331714493,0.5728064506859036,0.36476815081360686,-3.317100579977252,3.544097718077235,0.5162040405518953,2010-03-15,18,2010,3
19,-1.9587152976224136,5.056411264605226,4.655262286965455,2.7494116608357158,5.328958274881555,0.11583377594012342,0.6240041373794538,-1.0465499677538452,0.7936646260673783,-3.186711317665783,1.806581912010351,-0.6369900381448693,2010-04-15,19,2010,4
20,-3.594436240484117,3.9918945178464136,4.608444610958074,1.9931248681486757,4.5097061122200826,0.2740659037782085,0.059415872037469286,-0.23723832841792258,0.8574965411979475,-2.9777368148479733,0.9442665744633172,-2.6909086570770526,2010-07-15,22,2010,7
