,liwc_Posemo,liwc_Negemo,liwc_Anx,liwc_Anger,liwc_Sad,liwc_Swear,liwc_Tentat,liwc_Certain,empath_swearing_terms,empath_science,empath_negative_emotion,empath_positive_emotion,date,time_delta,gender,party,governing_party,congress_member,year,month
0,-0.2842475230318437,2.3421294806554376,1.852245853291996,5.023759185680212,-4.12369589022953,7.681306601305111,-2.4887128187558916,-3.9491926566437514,7.538580672861569,-4.020364781032232,0.7644684419703892,0.35902650739321496,2008-09-15,0,1,0,1,0,2008,9
1,-1.5022129549639522,4.538460651991239,4.959096953636499,2.0874727017037924,4.905083465210449,2.3859866122692823,0.014599184973598934,-1.6383054464695292,2.795600667529569,-1.5083533700037437,0.9024709480836006,-1.570894351636802,2008-09-15,0,0,0,1,0,2008,9
2,-2.6671393823666594,1.1407692312588242,3.151918454371885,-1.2711945254393224,3.97261037930446,0.17460765556260271,-1.018783309333632,-1.1441201674155286,-0.18760073261027155,-0.9784062236038266,2.1447237880176093,1.56229635006277,2008-09-15,0,1,1,0,0,2008,9
3,1.5588088417202743,-0.45184622521150997,1.246525461598292,-1.16062711175627,-2.1401685219752005,-0.6163574198700776,-7.738526595310527,7.284426201876427,-2.0180155191430806,-2.2243296372447197,-0.47742202873258166,0.5920225737273904,2008-09-15,0,1,0,1,1,2008,9
4,0.013035671220614914,1.186605726529625,1.490939833659776,-0.27226170380428644,2.091169770791852,2.870582198856096,2.2209848020773464,1.9325276883740385,2.9998832331079863,-0.6964561127553834,1.5094561909111985,-0.4113377760438286,2008-09-15,0,0,1,0,0,2008,9
5,-4.2152176837166095,2.3662915290010815,0.8479713643792337,2.576912009005286,3.670373070076487,3.619498629315925,-7.659169200341561,-2.2123259633498793,3.095258499829479,-3.592774849445581,-0.15349774614399433,-1.3774711946454943,2008-09-15,0,1,1,0,1,2008,9
6,-1.0618820846866623,5.637230574913706,3.3910316996765517,5.2945163059641445,4.318105053168945,3.6829535156457958,-3.888088635423111,-1.3968063303164626,3.871589175446239,-2.780711791697817,1.5619597592648748,-1.390989992789293,2008-09-15,0,0,0,1,1,2008,9
7,-4.889617708898806,4.637819821346408,2.7838244052572234,4.567801548674491,0.7966293288385455,3.486819306528707,-2.4237529767995287,-3.2440076974945806,3.8276329311521398,-1.8525574229661637,0.9761411037418521,-1.8831678407223993,2008-09-15,0,0,1,0,1,2008,9
8,-0.4704809898512071,3.394039019952943,4.4998843808690765,1.5520136074809958,1.2478435000499217,1.942185459254184,0.28664149638724207,-0.17548494892463748,2.4408097852044746,-1.0759725710103627,1.105224140631047,-1.747855527973194,2008-10-15,1,0,0,1,0,2008,10
9,-0.1656082836689792,2.384040661442424,4.768531340817246,4.187161406761571,-6.388267374631702,7.699201431956274,0.5929217735113788,-4.211736670443653,6.0876272121490596,-3.867391183779977,1.1162286693267351,-1.0588787437423526,2008-10-15,1,1,0,1,0,2008,10
10,-1.655846102191554,6.461439636035031,5.313476124452979,5.814564132582921,3.4921641984754648,4.2700142654205,-1.2813855624885273,-2.875184146911035,5.272634673675,-4.346402777185999,4.398473395790288,-1.0981944413638385,2008-10-15,1,0,0,1,1,2008,10
11,-3.595031290754729,1.2902015161148335,0.16616478164668974,-0.8205293419195259,7.014778761819739,-1.9803549121851316,1.3964571741584135,-2.017915804639324,-0.4740025403770144,-7.536352762878713,1.9780462775971277,-0.011911466226840913,2008-10-15,1,1,0,1,1,2008,10
12,-2.4706257824385873,2.5000851166924942,2.407395232407851,1.3315423796515504,5.40204496821768,0.9081388633270715,-6.7344386983363265,0.5817734034081102,0.7700004168116262,-1.7682378261050284,2.8841672242980536,-1.2863921986963764,2008-10-15,1,1,1,0,1,2008,10
13,-3.010872734693849,3.6592387731241613,4.936954629112275,3.959773949992773,1.0499727276564703,3.582459297539606,-1.379892554178743,-2.5856560500632457,2.997310962526119,-2.8071718038055087,1.9140792242545064,-1.0926803482466834,2008-10-15,1,0,1,0,1,2008,10
14,-1.0875761301828473,0.9180398784129562,2.0635813314805835,-0.6915375591485251,0.5890479346814086,2.066067815717609,1.17352980115788,0.04501574318144689,3.523037344356624,-0.7794803816843046,1.5202613454741534,-0.5260467772958406,2008-10-15,1,0,1,0,0,2008,10
15,-3.111788480012069,-0.8113221845655174,2.304024101787342,-2.0899611842110297,-2.171584162609157,0.7343914277545519,-1.350761665046325,2.532995990882811,0.2139993311855512,-0.0704863180533019,1.2563505003726005,-0.020435143584183475,2008-10-15,1,1,1,0,0,2008,10
16,1.1630362409160404,-1.6739563128761636,0.4093416935813083,-2.916225447603782,0.40238255264630407,1.0591897539444313,2.1968725038703094,3.545534331032244,-0.09753521100896162,-2.7689663337403263,-0.3983018304618879,1.703602984734003,2008-11-15,2,1,1,1,0,2008,11
17,0.3357848106811443,-0.6363954238340589,-0.8922494645612927,-1.5294428452100661,-0.22694045372438573,0.921213544872517,2.777656481648184,0.6275891779080317,1.179086755126488,-1.1698881503589331,0.36115885981636353,0.03558119101551581,2008-11-15,2,0,1,1,0,2008,11
18,0.9982219687323134,1.054118737162691,1.2715683850188053,-0.1891058691939827,2.953569562667208,2.326819923352074,1.7954439366569925,0.18716216952370457,1.7474740284147434,-1.6014284540603612,0.99745745203029,0.08019668043907835,2008-11-15,2,0,0,0,0,2008,11
19,-2.231442268077185,-1.6915957596295113,0.16251798504689927,-0.8328302715445179,-1.1160786279449713,2.0266970743246238,-3.144289103456673,-2.556612282097119,0.14620554068646768,-4.527804639539898,-1.2512054033449764,-0.6494406306958277,2008-11-15,2,1,1,1,1,2008,11
